State,Year,Annual_Rainfall_mm
Benue,2005,854.71
Benue,2006,1057.24
Benue,2007,1552.37
Benue,2008,1096.81
Benue,2009,1031.34
Benue,2010,1166.31
Benue,2011,866.74
Benue,2012,1245.43
Benue,2013,585.35
Benue,2014,883.01
Benue,2015,693.12
Benue,2016,1252.88
Benue,2017,936.21
Benue,2018,810.71
Benue,2019,938.12
Benue,2020,1078.68
Benue,2021,1517.79
Benue,2022,1908.77
Benue,2023,792.72
Benue,2024,1082.75
Benue,2025,721.29
Kwara,2005,802.09
Kwara,2006,1090.63
Kwara,2007,1399.41
Kwara,2008,1205.68
Kwara,2009,1195.06
Kwara,2010,1439.3799999999999
Kwara,2011,1227.27
Kwara,2012,1476.54
Kwara,2013,928.06
Kwara,2014,1305.75
Kwara,2015,951.01
Kwara,2016,1217.93
Kwara,2017,1274.22
Kwara,2018,1482.59
Kwara,2019,1645.89
Kwara,2020,1204.71
Kwara,2021,1764.69
Kwara,2022,1540.4
Kwara,2023,1579.72
Kwara,2024,1259.82
Kwara,2025,1186.6200000000001
Niger,2005,785.7
Niger,2006,942.57
Niger,2007,1404.03
Niger,2008,1266.1299999999999
Niger,2009,1171.97
Niger,2010,1166.86
Niger,2011,1009.68
Niger,2012,1456.54
Niger,2013,669.52
Niger,2014,1068.49
Niger,2015,919.96
Niger,2016,1209.92
Niger,2017,1441.58
Niger,2018,1446.0
Niger,2019,1302.08
Niger,2020,1771.0
Niger,2021,2212.66
Niger,2022,1738.35
Niger,2023,1151.68
Niger,2024,1578.26
Niger,2025,1020.15
